feature,is_signal,naive_logOR,naive_se_boot,naive_p_boot,lambda_logOR,lambda_se_boot,lambda_p_boot
526,0,0.20396035461899908,0.13815253580443565,0.13985217515616727,0.5072299286203694,0.39315418839058996,0.19699677023381723
527,0,-0.12069588054524243,0.1329857303724088,0.36409741718772604,-0.2839714113417831,0.3104167079200416,0.36029290178368956
528,0,0.252110773100462,0.14522886767317517,0.08257179880450193,0.6334435507048656,0.41903279125939946,0.1306152520036461
529,0,0.13292561788467902,0.18342004688750435,0.4686323820484185,0.3323784235037172,0.4519138343217457,0.46204070024828603
530,0,0.04749044467053213,0.1235576369270174,0.7007126547485332,0.11546178508855534,0.3250417406438395,0.7224237271928534
531,0,0.01819629908479837,0.14006164767727763,0.8966326025965815,0.0457649065907343,0.30164292875965304,0.8794087196552473
532,0,-0.0031400791064894284,0.13714464561409626,0.9817331421056821,-0.005006755503598777,0.3232628380884463,0.9876427082365871
533,0,-0.1453568467909898,0.15981915116551915,0.36308187100023503,-0.338882626601831,0.3621691944299828,0.34942637462965875
534,0,0.005656944488214212,0.18957403959876307,0.9761944255732473,0.02049598996179365,0.4744414549050154,0.9655419049657578
535,0,0.2178819159563889,0.1383887632573098,0.11539058457325774,0.5357751554608846,0.3214523121719507,0.09556752107117297
536,0,-0.038086408623089645,0.14827741444646528,0.7972875168286051,-0.08793209521483776,0.34125709663140824,0.796660743496522
537,0,-0.04893578550891374,0.133327848232408,0.7135940369459108,-0.11406197601772404,0.33250226824297596,0.7315674679331254
538,0,0.12811509971026935,0.14450955283838743,0.3753206433258587,0.3149377247242958,0.403260156591207,0.43481483009387323
539,0,-0.11461887712616232,0.17393412640514638,0.5099094738106345,-0.26653953540490943,0.35334584263798247,0.45065081073426283
540,0,0.06505786404932824,0.1277459774672093,0.6105593067597558,0.15812481953829083,0.29010991103551986,0.5857181517249983
541,0,-0.2455783330316074,0.12273486805749083,0.04540480500977015,-0.5768061136806604,0.3280608350118944,0.07870853211966168
542,0,-0.3063289261444648,0.1313878605865645,0.01972776002301442,-0.7171474469905397,0.3249593735585082,0.02732220648357956
543,0,0.3493576944873612,0.16634600988771242,0.035712411924360206,0.9190619910266781,0.544810319182765,0.09161500571445604
544,0,0.05008700470373222,0.13926809223770245,0.7191129940033099,0.12257738566813121,0.3494902107773846,0.725789448265423
545,0,0.03447380918632991,0.12430565923840615,0.7815259803845,0.0840262447192978,0.2927187923107082,0.774070595204347
546,0,0.05783410432165011,0.13850546380187526,0.6762700994797767,0.14096917289193428,0.33391503617090507,0.6729003642893812
547,0,-0.036105580665876144,0.1359355630797567,0.7905410805261239,-0.08298343928302011,0.3388732663936547,0.8065489965356529
548,0,0.04321903864355937,0.13517501893466663,0.749175652764527,0.10660625984738133,0.35358631655032985,0.7630332814684234
