feature,mean_shap,std_shap,t_stat,p_value,p_two,log_or,group
Z9,3.2620933e-06,5.0189796e-05,9.191702,0.0,17.042691523415904,2.969842658366371,Z
8,2.429222e-05,0.00037684655,9.11628,0.0,16.822442559373517,3.6537032652999044,other
B97.89,2.951638e-06,4.6041285e-05,9.066312,0.0,16.93123938674724,2.842016618316989,B
Z00.11,3.8747097e-05,0.0006133648,8.933782,0.0,16.323056713839332,3.901692755261224,Z
J30.0,2.473126e-06,3.9209724e-05,8.920053,0.0,16.399384633074707,2.459649692483177,J
F80.9,8.277836e-05,0.0013153112,8.900272,0.0,16.31237562494366,3.970138612457894,F
K3,2.4136264e-07,3.8537573e-06,8.857286,0.0,16.142204781121652,0.4707633343658081,K
Q89,-2.637191e-07,4.2292227e-06,-8.818526,0.0,15.94978088091818,-0.8350453247643029,Q
J01,1.1995413e-05,0.00019745469,8.591376,0.0,14.98776860640097,3.471549885401027,J
P05.9,2.3319426e-07,3.921025e-06,8.410722,0.0,14.343514817238708,0.34234077136475727,P
P92.5,9.084264e-07,1.6002143e-05,8.028356,1.1102230246251563e-15,12.941856384168172,2.048328873425758,P
P07.00,2.03371e-06,3.6625774e-05,7.8526673,4.218847493575595e-15,12.472749302225635,2.605040475268904,P
Z6,2.1200515e-06,3.883773e-05,7.7198267,1.2212453270876722e-14,11.95670344296759,2.5953450138055367,Z
F50,3.257172e-07,6.5841814e-06,6.996066,2.715605518233133e-12,11.648077555527786,0.7906660823224441,F
Z68.52,7.531329e-07,1.4079271e-05,7.5649567,4.0412118096355704e-14,11.454522037332008,1.551775608671563,Z
J91.8,1.2685755e-06,2.583899e-05,6.9431376,3.952393967665557e-12,11.48324357461826,2.2603604242431614,J
83,2.2557651e-06,4.603706e-05,6.9294906,4.352074256530614e-12,11.11624814829575,2.4102512974563326,other
R10,-1.4637727e-06,2.9959594e-05,-6.909597,5.006439707244681e-12,11.171549328208492,-2.7853525158478543,R
P9,2.8817567e-06,5.4363038e-05,7.4966736,6.816769371198461e-14,11.408121659233318,3.0726170992397512,P
Z05,1.4847488e-05,0.0003102869,6.7671304,1.3499867890232052e-11,11.10302652837388,3.4378750614283327,Z
E8,-1.8532345e-06,3.8771e-05,-6.7598705,1.41922029683883e-11,10.673233349055153,-2.596884769737265,E
H51,-1.1502856e-06,2.2222512e-05,-7.3202777,2.569056078982612e-13,10.529871996280425,-2.2815532519948394,H
Z13.42,1.4163175e-05,0.00029905472,6.697689,2.1736834554531012e-11,10.80996070865853,3.3512924375964928,Z
H93.24,-4.6300656e-06,9.781223e-05,-6.6943583,2.223665696021726e-11,10.88103487941032,-2.9629788861131217,H
P28.3,2.0744226e-06,4.0147945e-05,7.3071647,2.831068712794149e-13,10.258333418397369,2.945789923881261,P
Q2,3.4193192e-07,7.2765597e-06,6.6455135,3.099476231227527e-11,10.705454717469815,0.6673650756317125,Q
S00,1.7266443e-06,3.363452e-05,7.259934,4.014566457044566e-13,10.407271180186346,2.607163532531219,S
N48.5,9.953104e-07,2.1249722e-05,6.624,3.5849989643566005e-11,10.471649407220978,2.1450271448383247,N
Z01.10,-3.980092e-06,7.770434e-05,-7.24374,4.523048602322888e-13,10.297421221621109,-2.909314061495689,Z
E86.0,-7.7186695e-07,1.6494958e-05,-6.617687,3.741074117158405e-11,10.27164709793604,-1.6993032785315998,E
J,4.26876e-06,8.34363e-05,7.235386,4.809486142676178e-13,10.270863395159115,2.8752791436212415,J
Z71,1.7853294e-05,0.0003498806,7.2162814,5.53335155473178e-13,10.319752371568729,3.2867331325098714,Z
M6,1.7362102e-06,3.7408994e-05,6.563587,5.381695089567984e-11,10.112055660157072,2.656414297418662,M
K2,-1.5466496e-06,3.3528995e-05,-6.5235863,7.028932991204329e-11,10.067671825510164,-2.2382625392120694,K
H92.01,3.8323014e-06,7.5873875e-05,7.1430283,9.443557047461582e-13,10.45432223773014,2.753862266144031,H
Q21.1,-4.9972397e-07,1.0847981e-05,-6.514728,7.455569495107284e-11,10.070912082471748,-1.118715204162915,Q
J30.81,-4.727561e-08,1.0290915e-06,-6.4967794,8.399059225894233e-11,9.835109220285375,-0.15865168045548267,J
Z41.2,-2.5298805e-05,0.0005023211,-7.122518,1.0955680807001045e-12,10.167587544294442,-3.826265553006642,Z
Z29.3,1.4507812e-05,0.00031682066,6.4759493,9.64091029231895e-11,9.932624323874276,3.6545510529464,Z
Z03.89,3.464296e-06,7.58834e-05,6.456293,1.0976464182022028e-10,10.149934773277348,3.0135357176651785,Z
K0,-1.7579854e-06,3.8794464e-05,-6.4085603,1.5017853627341538e-10,9.86895221090713,-2.5410949517025885,K
R06.00,1.2766511e-06,2.5679108e-05,7.0308414,2.119193709404499e-12,9.766165948389336,2.5923114902364754,R
H69,8.1386884e-07,1.8035327e-05,6.3818326,1.788222903087444e-10,9.630808788564918,1.6418391903830292,H
A08.4,2.3012715e-06,5.1764713e-05,6.287081,3.3018521250482985e-10,9.126532092157385,2.6108749449431317,other
Z71.82,6.722454e-06,0.0001522077,6.2460613,4.2942072120411007e-10,8.883476670899384,3.08190114473989,Z
Z29,3.2219846e-06,7.33327e-05,6.213564,5.281943771251463e-10,9.792689010838883,2.880571103060541,Z
H10.33,5.6187023e-06,0.0001288638,6.166235,7.127580747834371e-10,9.066901301383627,3.2960227327931393,H
H52,1.7039428e-06,3.931209e-05,6.129766,8.965663766957731e-10,8.962182841948279,2.2233194276648534,H
R68.12,7.3319404e-07,1.7227103e-05,6.0189633,1.785975367596393e-09,8.57725543236161,1.5577458307236247,R
N39.0,-2.1389171e-07,5.034284e-06,-6.008571,1.904060242807759e-09,8.757142850504767,-0.4566979259926906,N
F80,8.705248e-05,0.0020490456,6.008202,1.908390778737612e-09,8.794508455243637,4.124565191745779,F
F,8.847926e-05,0.0020941691,5.975094,2.3385278158372103e-09,8.818626323199341,4.240164332501855,F
M62,1.3619128e-06,3.229981e-05,5.9629936,2.5181967622245342e-09,8.492300566882408,2.8119686364376806,M
J91,1.4245062e-06,3.3800177e-05,5.960193,2.5616568866126954e-09,8.505808505516315,2.6727194574286526,J
