method,p_sel,q_sel,n,theta,detK,bias_mean,bias_sd,rmse,cover_95,se_mean,feasible_rate,lam_median
lambda-OR,0.85,0.6,20000,0.7,0.44999999999999996,0.010761051341930387,0.1337469354199017,0.12994624961618,0.5,0.036469889471804275,1.0,0.0
lambda-OR,0.85,0.6,20000,1.1,0.44999999999999996,0.026082668283553316,0.11999149776918891,0.1190730559388954,0.5,0.03857641938634866,1.0,0.0
lambda-OR,0.85,0.6,20000,1.4,0.44999999999999996,0.02886661522360552,0.12406564690890053,0.12354573412691723,0.4375,0.040473715704008276,1.0,0.0
lambda-OR,0.85,0.6,35000,0.25,0.44999999999999996,0.005643024693087367,0.06768189259958449,0.06577522255326945,0.5,0.02676288001806157,1.0,0.0
lambda-OR,0.85,0.6,35000,0.4,0.44999999999999996,-0.004310838390648143,0.07232486502472515,0.07016080848431126,0.5625,0.026956019090846942,1.0,0.0
lambda-OR,0.85,0.6,35000,0.7,0.44999999999999996,0.017104464832406643,0.10034075520430663,0.09864868562220158,0.5,0.027659524526576586,1.0,0.0
lambda-OR,0.85,0.6,35000,1.1,0.44999999999999996,0.016576186574355133,0.08615050320130718,0.08504592781592407,0.3125,0.02912245068618295,1.0,0.0
lambda-OR,0.85,0.6,35000,1.4,0.44999999999999996,0.021824284657467455,0.07439758086622113,0.07526859861279776,0.4375,0.030563409022854544,1.0,0.0
lambda-OR,0.85,0.6,50000,0.25,0.44999999999999996,-0.040119904004228865,0.06994852697684073,0.07871850701645065,0.375,0.022381446605045992,1.0,0.0
lambda-OR,0.85,0.6,50000,0.4,0.44999999999999996,0.010797734187101907,0.060356861217088345,0.05942943160636398,0.5625,0.022657536055280272,1.0,0.0
lambda-OR,0.85,0.6,50000,0.7,0.44999999999999996,0.008784735049235534,0.05099559953644166,0.05015165295093798,0.6875,0.023163215727421707,1.0,0.0
lambda-OR,0.85,0.6,50000,1.1,0.44999999999999996,-0.003738739715611228,0.06025725750853021,0.058463507331132016,0.625,0.024178326617750795,1.0,0.0
lambda-OR,0.85,0.6,50000,1.4,0.44999999999999996,0.05858155319986749,0.08451155762173236,0.10063604739968718,0.5625,0.025876564981324006,1.0,0.0
lambda-OR,0.85,0.7,5000,0.25,0.5499999999999998,-0.00863343527249445,0.17480628272602491,0.16947550089928817,0.625,0.07104935804978091,1.0,0.0
lambda-OR,0.85,0.7,5000,0.4,0.5499999999999998,-0.007526443641851243,0.16728013648263476,0.1621430731227511,0.5625,0.07141478397553823,1.0,0.0
lambda-OR,0.85,0.7,5000,0.7,0.5499999999999998,-0.03996434723517593,0.1090457570402039,0.11289349010405979,0.75,0.07295524619958604,1.0,0.0
lambda-OR,0.85,0.7,5000,1.1,0.5499999999999998,-0.055092522391092094,0.16720721185961898,0.1710147566444597,0.625,0.07596420382154324,1.0,0.0
lambda-OR,0.85,0.7,5000,1.4,0.5499999999999998,-0.0021072702794011217,0.19381505882133812,0.18767245482443415,0.75,0.0805127992888085,1.0,0.0
lambda-OR,0.85,0.7,10000,0.25,0.5499999999999998,-0.001966780534990468,0.12978734899245353,0.12568145024925592,0.5,0.050384437299919003,1.0,0.0
lambda-OR,0.85,0.7,10000,0.4,0.5499999999999998,0.03846846936149409,0.09477197027160365,0.09949970646868929,0.6875,0.05056723504048808,1.0,0.0
lambda-OR,0.85,0.7,10000,0.7,0.5499999999999998,0.0016033580604188184,0.1302969481458351,0.1261696656676277,0.5625,0.05155378824041329,1.0,0.0
lambda-OR,0.85,0.7,10000,1.1,0.5499999999999998,-0.0018299984215263687,0.13319661351735593,0.12898004935234725,0.5625,0.054489849303803496,1.0,0.0
lambda-OR,0.85,0.7,10000,1.4,0.5499999999999998,0.0018252404941209721,0.12406573710902546,0.12013999930078173,0.6875,0.0570866976470563,1.0,0.0
lambda-OR,0.85,0.7,20000,0.25,0.5499999999999998,0.0029614016648134497,0.07135584573317783,0.06915343863539156,0.625,0.03549385563236829,1.0,0.0
lambda-OR,0.85,0.7,20000,0.4,0.5499999999999998,-0.004952768113663514,0.08740174994372416,0.08477118724476156,0.6875,0.03575090627893552,1.0,0.0
lambda-OR,0.85,0.7,20000,0.7,0.5499999999999998,0.018217718474151448,0.07627934866961354,0.07607079341161516,0.5625,0.036717748740494174,1.0,0.0
lambda-OR,0.85,0.7,20000,1.1,0.5499999999999998,-0.002488831800828116,0.1307027189920494,0.12657683432861158,0.4375,0.03829916462468637,1.0,0.0
lambda-OR,0.85,0.7,20000,1.4,0.5499999999999998,0.05225713627335547,0.12189303904484151,0.12907401635730215,0.5,0.040875778572669066,1.0,0.0
lambda-OR,0.85,0.7,35000,0.25,0.5499999999999998,-0.012607628077967156,0.05209246506332203,0.051990149498269696,0.6875,0.02679437683185785,1.0,0.0
lambda-OR,0.85,0.7,35000,0.4,0.5499999999999998,0.005555905688754952,0.0686794763583678,0.06673030912807326,0.4375,0.027007379177731886,1.0,0.0
lambda-OR,0.85,0.7,35000,0.7,0.5499999999999998,-0.004640336836122555,0.07327209859598284,0.07109699804893939,0.5,0.027655032873498624,1.0,0.0
lambda-OR,0.85,0.7,35000,1.1,0.5499999999999998,-0.01636224607232592,0.0750923566712365,0.07452621183227434,0.625,0.0289077438771899,1.0,0.0
lambda-OR,0.85,0.7,35000,1.4,0.5499999999999998,-0.0029599365451856985,0.0941340528318207,0.09119295413016587,0.375,0.030532379750034908,1.0,0.0
lambda-OR,0.85,0.7,50000,0.25,0.5499999999999998,-0.006372996117472968,0.03276920716681346,0.03236235790557477,0.8125,0.02250383142106885,1.0,0.0
lambda-OR,0.85,0.7,50000,0.4,0.5499999999999998,-0.03174977856629603,0.04442365662305544,0.0534618403867354,0.6875,0.02255781070131303,1.0,0.0
lambda-OR,0.85,0.7,50000,0.7,0.5499999999999998,0.001397883594162548,0.06187980257932932,0.05993116612286174,0.5625,0.02311210238664982,1.0,0.0
lambda-OR,0.85,0.7,50000,1.1,0.5499999999999998,0.010696477495279438,0.04681854551771001,0.04657673584984553,0.8125,0.02429580905469367,1.0,0.0
lambda-OR,0.85,0.7,50000,1.4,0.5499999999999998,0.034630246534392076,0.05744646955852723,0.06552171232290405,0.5625,0.025602477023898763,1.0,0.0
lambda-OR,0.85,0.8,5000,0.25,0.6499999999999999,-0.040366650056620754,0.1145617832719652,0.11804064336741438,0.875,0.0712063080832079,1.0,0.0
lambda-OR,0.85,0.8,5000,0.4,0.6499999999999999,-0.002018666064453733,0.14967362173588875,0.14493491984679388,0.625,0.0711770091312576,1.0,0.0
lambda-OR,0.85,0.8,5000,0.7,0.6499999999999999,0.05247259925403806,0.12095607715849302,0.12833295752240725,0.6875,0.07358003585672514,1.0,0.0
lambda-OR,0.85,0.8,5000,1.1,0.6499999999999999,0.008370887778951987,0.17145830979010426,0.1662247026122538,0.6875,0.07717441173598479,1.0,0.0
lambda-OR,0.85,0.8,5000,1.4,0.6499999999999999,-0.03968248965600725,0.15290961456960367,0.15327986111647163,0.75,0.08006527048762446,1.0,0.0
lambda-OR,0.85,0.8,10000,0.25,0.6499999999999999,-0.03349447129044736,0.1107586626295268,0.1123505379172274,0.5,0.05050482958116914,1.0,0.0
lambda-OR,0.85,0.8,10000,0.4,0.6499999999999999,-0.039504539459954725,0.08130598341385133,0.08808010639841295,0.75,0.05056810899451328,1.0,0.0
lambda-OR,0.85,0.8,10000,0.7,0.6499999999999999,0.013750367040231137,0.11130534204090752,0.10864458943112067,0.6875,0.0515601820593572,1.0,0.0
lambda-OR,0.85,0.8,10000,1.1,0.6499999999999999,-0.01734430303009643,0.09068592754333192,0.08950288381440347,0.8125,0.05395549154901815,1.0,0.0
lambda-OR,0.85,0.8,10000,1.4,0.6499999999999999,0.001289569625444173,0.16599830880827326,0.16073234462632371,0.625,0.057110269581697716,1.0,0.0
lambda-OR,0.85,0.8,20000,0.25,0.6499999999999999,-0.007180240963599895,0.059564404483591654,0.05811823508321175,0.6875,0.03554352162314504,1.0,0.0
lambda-OR,0.85,0.8,20000,0.4,0.6499999999999999,-0.02779654301804091,0.06585653740297737,0.06956050317920504,0.625,0.03561422258469359,1.0,0.0
lambda-OR,0.85,0.8,20000,0.7,0.6499999999999999,0.00428522299968901,0.07715452688893835,0.07482735356737523,0.625,0.03665523852640744,1.0,0.0
lambda-OR,0.85,0.8,20000,1.1,0.6499999999999999,-0.0032045091941084528,0.07940759334842434,0.07695282251468791,0.6875,0.03833914480229948,1.0,0.0
lambda-OR,0.85,0.8,20000,1.4,0.6499999999999999,0.02470539389253934,0.06912739837999562,0.07134627788993604,0.8125,0.0405340175107717,1.0,0.0
lambda-OR,0.85,0.8,35000,0.25,0.6499999999999999,-0.005371009167172473,0.03417964213443262,0.03352730498987899,0.9375,0.02684753553262722,1.0,0.0
lambda-OR,0.85,0.8,35000,0.4,0.6499999999999999,0.004400859526876067,0.04390309384697555,0.04273618619891247,0.75,0.02702468822172954,1.0,0.0
lambda-OR,0.85,0.8,35000,0.7,0.6499999999999999,0.004619581389768618,0.04678149776676129,0.04553094861944835,0.8125,0.02760505416719035,1.0,0.0
lambda-OR,0.85,0.8,35000,1.1,0.6499999999999999,0.006065682812587375,0.05537522072851212,0.05395884206312846,0.6875,0.028934563162179832,1.0,0.0
lambda-OR,0.85,0.8,35000,1.4,0.6499999999999999,0.007278479624674747,0.0717916632620062,0.06989199880853149,0.4375,0.030474032200148035,1.0,0.0
lambda-OR,0.85,0.8,50000,0.25,0.6499999999999999,-0.005052626128597686,0.0437480544823017,0.04265914948572197,0.625,0.022471882354501177,1.0,0.0
lambda-OR,0.85,0.8,50000,0.4,0.6499999999999999,0.0051385976859518664,0.048583208370645246,0.047320321356574796,0.5625,0.022707454140081226,1.0,0.0
lambda-OR,0.85,0.8,50000,0.7,0.6499999999999999,0.003979913957554683,0.0476687168165316,0.046326311291325625,0.6875,0.02313795208519296,1.0,0.0
lambda-OR,0.85,0.8,50000,1.1,0.6499999999999999,-0.025760207838677628,0.044647671498198725,0.050323100733805574,0.6875,0.024130275158537672,1.0,0.0
lambda-OR,0.85,0.8,50000,1.4,0.6499999999999999,0.0017166152519423744,0.03476867843535272,0.03370836625461626,0.9375,0.025428727747803123,1.0,0.0
lambda-OR,0.85,0.9,5000,0.25,0.75,0.03199358479570502,0.09355288737838362,0.09606624424770892,0.875,0.07146697470676458,1.0,0.0
lambda-OR,0.85,0.9,5000,0.4,0.75,0.06368933665946928,0.10627787133553165,0.12101810161607766,0.6875,0.07144568659163811,1.0,0.0
lambda-OR,0.85,0.9,5000,0.7,0.75,0.028265877154023792,0.10561781240656175,0.1060984776763423,0.8125,0.07289441679414804,1.0,0.0
lambda-OR,0.85,0.9,5000,1.1,0.75,0.01123473915810188,0.12025275071231649,0.11697498948263135,0.8125,0.07736548152281636,1.0,0.0
lambda-OR,0.85,0.9,5000,1.4,0.75,-0.028880388003848192,0.10223647049995463,0.10311694437759929,0.9375,0.07983377454772465,1.0,0.0
lambda-OR,0.85,0.9,10000,0.25,0.75,0.010004443868344605,0.0700046990610372,0.0685160978863879,0.9375,0.05034338463681023,1.0,0.0
lambda-OR,0.85,0.9,10000,0.4,0.75,-0.01862594235907931,0.07404364838120375,0.07407248968249361,0.8125,0.05047463020666192,1.0,0.0
lambda-OR,0.85,0.9,10000,0.7,0.75,-0.014134075410643106,0.07424995019849451,0.07326841917335686,0.8125,0.05137181717748137,1.0,0.0
lambda-OR,0.85,0.9,10000,1.1,0.75,-0.00027637592311274134,0.09335118794850546,0.09038732160450237,0.8125,0.054012634707908035,1.0,0.0
lambda-OR,0.85,0.9,10000,1.4,0.75,-0.010202901267548733,0.07831286566799207,0.07650946062636639,0.8125,0.057001381868519975,1.0,0.0
lambda-OR,0.85,0.9,20000,0.25,0.75,-0.002198587765620267,0.04131969250322115,0.04006798553632111,0.9375,0.035391355806387005,1.0,0.0
lambda-OR,0.85,0.9,20000,0.4,0.75,-0.023826560001197466,0.04017400463114693,0.04561560800962337,0.875,0.03567503121876168,1.0,0.0
lambda-OR,0.85,0.9,20000,0.7,0.75,-0.011670793400190595,0.05984078305478773,0.05910430845473084,0.8125,0.03648043483583015,1.0,0.0
lambda-OR,0.85,0.9,20000,1.1,0.75,-0.013506121395512813,0.04862189415385753,0.04897701878753898,0.875,0.038100771896239685,1.0,0.0
lambda-OR,0.85,0.9,20000,1.4,0.75,0.028603566783433856,0.04449128506836851,0.05170997318534903,0.875,0.04040893138960097,1.0,0.0
lambda-OR,0.85,0.9,35000,0.25,0.75,-0.01254516219928423,0.030035802602337885,0.03167248321019437,0.875,0.0267647531542522,1.0,0.0
lambda-OR,0.85,0.9,35000,0.4,0.75,0.008811341171125,0.03870282526751626,0.03849583255615294,0.8125,0.027059971081682024,1.0,0.0
lambda-OR,0.85,0.9,35000,0.7,0.75,0.013845443535808313,0.03443837055488809,0.03610502164206945,0.875,0.027651085961318073,1.0,0.0
lambda-OR,0.85,0.9,35000,1.1,0.75,-0.006259943263788967,0.04109814268630987,0.04028247930134917,0.8125,0.02885458174689764,1.0,0.0
lambda-OR,0.85,0.9,35000,1.4,0.75,0.009270915318908265,0.059999054011603374,0.05882893376557756,0.6875,0.030495773062601796,1.0,0.0
lambda-OR,0.85,0.9,50000,0.25,0.75,0.0006334894492197596,0.028888679104482853,0.027978515918628447,0.9375,0.02242835220858634,1.0,0.0
lambda-OR,0.85,0.9,50000,0.4,0.75,0.0007323242543582215,0.030027348062631482,0.029083076324699367,1.0,0.0226257043762754,1.0,0.0
lambda-OR,0.85,0.9,50000,0.7,0.75,0.009715717792052665,0.03984894323576776,0.03978802969373182,0.8125,0.02307270345793537,1.0,0.0
lambda-OR,0.85,0.9,50000,1.1,0.75,-0.009952215460458075,0.024678930708833088,0.025884949530461786,0.9375,0.02413227098753991,1.0,0.0
lambda-OR,0.85,0.9,50000,1.4,0.75,0.0003096180990654618,0.038611506503010554,0.037386712487825054,0.8125,0.025414469055545987,1.0,0.0
lambda-OR,0.85,0.95,5000,0.25,0.7999999999999998,0.007082284453459105,0.08195210120830212,0.07966521489807843,0.9375,0.07111085984793518,1.0,0.0
lambda-OR,0.85,0.95,5000,0.4,0.7999999999999998,0.01547438838244759,0.09046898327152576,0.08895253690372165,0.8125,0.07135551413982148,1.0,0.0
lambda-OR,0.85,0.95,5000,0.7,0.7999999999999998,-0.02323241600446857,0.053677151996628765,0.05692894263438898,0.9375,0.07291194137949362,1.0,0.0
lambda-OR,0.85,0.95,5000,1.1,0.7999999999999998,0.012341305102214671,0.0838469615083458,0.0821171492818132,0.9375,0.07674496334866335,1.0,0.0
lambda-OR,0.85,0.95,5000,1.4,0.7999999999999998,0.015236573363021852,0.08089531356952337,0.07979474726141934,1.0,0.08079808201892426,1.0,0.0
lambda-OR,0.85,0.95,10000,0.25,0.7999999999999998,0.022881157576558658,0.0819111874981792,0.08254483535976105,0.8125,0.05032835641301962,1.0,0.0
lambda-OR,0.85,0.95,10000,0.4,0.7999999999999998,-0.007515396429150448,0.06908342076957637,0.06731060666519785,0.875,0.05055253236823045,1.0,0.0
lambda-OR,0.85,0.95,10000,0.7,0.7999999999999998,0.006499005489493406,0.09098410458496196,0.08833437979651132,0.75,0.05166231413005984,1.0,0.0
lambda-OR,0.85,0.95,10000,1.1,0.7999999999999998,-0.02049155246943226,0.08110389483964253,0.08115805795410769,0.75,0.054255310418989074,1.0,0.0
lambda-OR,0.85,0.95,10000,1.4,0.7999999999999998,-0.0009818057156405213,0.0626714250574454,0.06068928852172822,0.9375,0.05681156031264172,1.0,0.0
lambda-OR,0.85,0.95,20000,0.25,0.7999999999999998,-0.004212771477578387,0.044558469870216,0.04334874396535395,0.8125,0.035511986909590856,1.0,0.0
lambda-OR,0.85,0.95,20000,0.4,0.7999999999999998,0.011670136373551975,0.05332632288998509,0.052935411128882476,0.8125,0.035794537128681594,1.0,0.0
lambda-OR,0.85,0.95,20000,0.7,0.7999999999999998,0.017286341018992325,0.05899974149553515,0.05968439066314677,0.8125,0.03651264415420065,1.0,0.0
lambda-OR,0.85,0.95,20000,1.1,0.7999999999999998,-0.021479281568739406,0.04772629461945916,0.050958770441712396,0.75,0.038182575382690084,1.0,0.0
lambda-OR,0.85,0.95,20000,1.4,0.7999999999999998,-0.02663347818594891,0.03342688817567896,0.04191496403519187,0.9375,0.04003689541411878,1.0,0.0
lambda-OR,0.85,0.95,35000,0.25,0.7999999999999998,0.011028708570554656,0.03654015456244691,0.037058958123728544,0.6875,0.02682141051110594,1.0,0.0
lambda-OR,0.85,0.95,35000,0.4,0.7999999999999998,0.009346869738260072,0.030766534319362358,0.031221505101483693,0.9375,0.026998112368975494,1.0,0.0
lambda-OR,0.85,0.95,35000,0.7,0.7999999999999998,0.0007915719509911101,0.03889075047835333,0.03766412622609264,0.875,0.02753218614699936,1.0,0.0
lambda-OR,0.85,0.95,35000,1.1,0.7999999999999998,0.014933701124038426,0.04410967159874216,0.045244608654254954,0.875,0.029011458697582527,1.0,0.0
lambda-OR,0.85,0.95,35000,1.4,0.7999999999999998,-0.006613771056917017,0.035033042649129716,0.034559353509875886,0.9375,0.03030607674987531,1.0,0.0
lambda-OR,0.85,0.95,50000,0.25,0.7999999999999998,0.0018645314026397054,0.021890958189758104,0.021277679611815252,1.0,0.022480216354100774,1.0,0.0
lambda-OR,0.85,0.95,50000,0.4,0.7999999999999998,0.005096380554954025,0.032191553244479795,0.03158323429898892,0.8125,0.022586878963198144,1.0,0.0
lambda-OR,0.85,0.95,50000,0.7,0.7999999999999998,0.003201076445380327,0.026007585028607016,0.025384379340268076,1.0,0.023069033866449214,1.0,0.0
lambda-OR,0.85,0.95,50000,1.1,0.7999999999999998,0.0058070064948452516,0.026911166925572612,0.02669586200417971,0.9375,0.024222962462729234,1.0,0.0
lambda-OR,0.85,0.95,50000,1.4,0.7999999999999998,-0.008145661385207364,0.029256297200775286,0.02947519367932626,0.875,0.02541283356426751,1.0,0.0
lambda-OR,0.9,0.6,5000,0.25,0.5,0.0026801984572122385,0.17454161343507998,0.16902044213055525,0.5,0.07157668325294514,1.0,0.0
lambda-OR,0.9,0.6,5000,0.4,0.5,-0.010798697977116843,0.16957595648231857,0.164545940640717,0.5,0.0726032163744746,1.0,0.0
lambda-OR,0.9,0.6,5000,0.7,0.5,0.05319881965646389,0.16887033837818227,0.17194470375037768,0.6875,0.07392467769177859,1.0,0.0
lambda-OR,0.9,0.6,5000,1.1,0.5,-0.10887886087896939,0.21745309659968284,0.23703394269765146,0.3125,0.07571426267930673,1.0,0.0
lambda-OR,0.9,0.6,5000,1.4,0.5,-0.0877811888182713,0.23607631949130317,0.24485570025195216,0.5,0.07995560676529546,1.0,0.0
lambda-OR,0.9,0.6,10000,0.25,0.5,0.03962058261194732,0.11392968128687939,0.11721140975714325,0.6875,0.050510537537878326,1.0,0.0
lambda-OR,0.9,0.6,10000,0.4,0.5,0.037261260102105585,0.14995316446168522,0.1498965678917146,0.5,0.050603905715594186,1.0,0.0
lambda-OR,0.9,0.6,10000,0.7,0.5,0.04154287315348642,0.16114712800292266,0.16146573125422808,0.4375,0.05218204967778035,1.0,0.0
lambda-OR,0.9,0.6,10000,1.1,0.5,0.028861884926060358,0.1886662872497016,0.18494131731318283,0.3125,0.054310195220723875,1.0,0.0
lambda-OR,0.9,0.6,10000,1.4,0.5,-0.05387966030403868,0.1485577748723216,0.15360042965371395,0.4375,0.05612363463027295,1.0,0.0
lambda-OR,0.9,0.6,20000,0.25,0.5,-0.009942167018182908,0.06601183126909396,0.06468431754141082,0.6875,0.035765471811715126,1.0,0.0
lambda-OR,0.9,0.6,20000,0.4,0.5,-0.004628088203422486,0.08783333759213587,0.08517010005545893,0.375,0.035844611101532114,1.0,0.0
lambda-OR,0.9,0.6,20000,0.7,0.5,-0.01624182989381394,0.09880373634642527,0.09703524725357603,0.5,0.036538474327482445,1.0,0.0
lambda-OR,0.9,0.6,20000,1.1,0.5,-0.002028733273528628,0.09857295290280692,0.09546441018738568,0.4375,0.038263654103970125,1.0,0.0
lambda-OR,0.9,0.6,20000,1.4,0.5,0.04145096248476898,0.11632604080225553,0.12001748132708104,0.5625,0.040774689001436416,1.0,0.0
lambda-OR,0.9,0.6,35000,0.25,0.5,0.015253069037158572,0.07760372778062306,0.07667201914754045,0.5,0.026899410046941834,1.0,0.0
lambda-OR,0.9,0.6,35000,0.4,0.5,-0.03833077733779543,0.08818116375712434,0.09359044438554015,0.375,0.02691069553105287,1.0,0.0
lambda-OR,0.9,0.6,35000,0.7,0.5,-0.00759575540253625,0.05300857620575747,0.05188434570789783,0.5625,0.027567067891776736,1.0,0.0
lambda-OR,0.9,0.6,35000,1.1,0.5,-0.008548786456224408,0.07669779537735948,0.07475275297363453,0.625,0.028911985868253127,1.0,0.0
lambda-OR,0.9,0.6,35000,1.4,0.5,0.028719240762879322,0.09251449410166675,0.0940680242308889,0.6875,0.03057654483065719,1.0,0.0
lambda-OR,0.9,0.6,50000,0.25,0.5,0.0025468344723466544,0.05503881442677436,0.05335192607573208,0.4375,0.022374250238752176,1.0,0.0
lambda-OR,0.9,0.6,50000,0.4,0.5,-0.03097793092772074,0.07696032769198544,0.08069909225398267,0.5,0.022504815345124392,1.0,0.0
lambda-OR,0.9,0.6,50000,0.7,0.5,-0.006754430462035228,0.058132727681270605,0.05669058988758352,0.5625,0.023053052897919875,1.0,0.0
lambda-OR,0.9,0.6,50000,1.1,0.5,0.03124676015339084,0.07936455022355308,0.08295433148883026,0.4375,0.02431652658748329,1.0,0.0
lambda-OR,0.9,0.6,50000,1.4,0.5,0.008908037307112815,0.07012432639406525,0.06847945282252534,0.5,0.025385262537571684,1.0,0.0
lambda-OR,0.9,0.7,5000,0.25,0.6000000000000001,0.062232628802081975,0.13806014979844405,0.1474524236485738,0.5,0.0716100827675557,1.0,0.0
lambda-OR,0.9,0.7,5000,0.4,0.6000000000000001,0.051082968627940525,0.1340181632320608,0.13945531006448803,0.6875,0.0713542315916503,1.0,0.0
lambda-OR,0.9,0.7,5000,0.7,0.6000000000000001,0.02470972018257707,0.1944248377873234,0.1898658058296414,0.5625,0.07314926880554912,1.0,0.0
lambda-OR,0.9,0.7,5000,1.1,0.6000000000000001,0.07262973361773163,0.1864772044728796,0.19461620373610092,0.75,0.07788884166169677,1.0,0.0
lambda-OR,0.9,0.7,5000,1.4,0.6000000000000001,0.028117561227477314,0.14581270982514255,0.1439552341850504,0.8125,0.08161549606103614,1.0,0.0
lambda-OR,0.9,0.7,10000,0.25,0.6000000000000001,0.02577445639800105,0.11551763200439255,0.114780772344591,0.5625,0.050279659885644604,1.0,0.0
lambda-OR,0.9,0.7,10000,0.4,0.6000000000000001,-0.041581579694461746,0.10420655968547825,0.10912995422328976,0.625,0.05046702055188418,1.0,0.0
lambda-OR,0.9,0.7,10000,0.7,0.6000000000000001,-0.008594607185374144,0.08916688626276212,0.08676220391452127,0.8125,0.051706505849182606,1.0,0.0
lambda-OR,0.9,0.7,10000,1.1,0.6000000000000001,-0.05516940019800021,0.14590978380152858,0.1516664882699961,0.4375,0.053692933135633364,1.0,0.0
lambda-OR,0.9,0.7,10000,1.4,0.6000000000000001,0.08167545843491916,0.1496057984501602,0.1662946391419302,0.5,0.05801457748984382,1.0,0.0
lambda-OR,0.9,0.7,20000,0.25,0.6000000000000001,0.0005761036915546119,0.10911377734610714,0.10565053136060547,0.3125,0.035461748840047644,1.0,0.0
lambda-OR,0.9,0.7,20000,0.4,0.6000000000000001,0.010967003428189015,0.07282814455205755,0.07136327933999627,0.625,0.03576947605863033,1.0,0.0
lambda-OR,0.9,0.7,20000,0.7,0.6000000000000001,-0.013695747382686953,0.06580525907425824,0.0651710047535423,0.75,0.03633074254702689,1.0,0.0
lambda-OR,0.9,0.7,20000,1.1,0.6000000000000001,-0.04200370984640478,0.0632970330961436,0.07429952146354556,0.5625,0.03783298208133517,1.0,0.0
lambda-OR,0.9,0.7,20000,1.4,0.6000000000000001,-0.01579526459603675,0.09451450218933523,0.09286640707220535,0.625,0.04015233559177324,1.0,0.0
lambda-OR,0.9,0.7,35000,0.25,0.6000000000000001,0.01152677572542807,0.0465158927583083,0.04649044869952165,0.6875,0.026793827743730708,1.0,0.0
lambda-OR,0.9,0.7,35000,0.4,0.6000000000000001,-0.004929040143681132,0.0507565850644808,0.04939141556164293,0.6875,0.027006531814347447,1.0,0.0
lambda-OR,0.9,0.7,35000,0.7,0.6000000000000001,0.01357408273043819,0.058134631548289316,0.057902192494323365,0.75,0.02772267482895378,1.0,0.0
lambda-OR,0.9,0.7,35000,1.1,0.6000000000000001,0.00132633058570647,0.050539039792888846,0.04895218623371772,0.6875,0.029081025596637146,1.0,0.0
lambda-OR,0.9,0.7,35000,1.4,0.6000000000000001,-0.014612635425246476,0.05908445617898542,0.059045035912553334,0.625,0.030257872805792934,1.0,0.0
lambda-OR,0.9,0.7,50000,0.25,0.6000000000000001,-0.013475786911467598,0.04369918625746679,0.04440568130853594,0.75,0.02242984664689797,1.0,0.0
lambda-OR,0.9,0.7,50000,0.4,0.6000000000000001,-0.013101972169059065,0.048909685399766256,0.04913562015232839,0.4375,0.02259758450564725,1.0,0.0
lambda-OR,0.9,0.7,50000,0.7,0.6000000000000001,0.013232681658716702,0.0487604184349726,0.04903145540836466,0.625,0.02311964822509141,1.0,0.0
lambda-OR,0.9,0.7,50000,1.1,0.6000000000000001,0.0001730779635944757,0.04709881385770214,0.04560355886450971,0.5625,0.02422999032264945,1.0,0.0
lambda-OR,0.9,0.7,50000,1.4,0.6000000000000001,-0.012526995523599191,0.07446102936904088,0.07317679075790952,0.75,0.02538610826717156,1.0,0.0
lambda-OR,0.9,0.8,5000,0.25,0.7000000000000002,0.006155850424413328,0.14246130772459634,0.13807486078442102,0.625,0.07196336261986458,1.0,0.0
