code,log_or,p_two,group
Z29.9,3.3970752144749854,0.7813168516451447,Z
R42,3.909977145227803,1.188751109059186,R
J45.20,1.43888047079693,0.2920179440676331,J
J02.9,-0.6717921328100592,0.18633116464721483,J
L71.1,-0.12488686163797087,0.09356406701758282,L
L21.9,1.2951398757563768,0.4196452915907854,L
L28,2.139650564272177,0.14936180105209323,L
H93.24,5.181279711208077,1.7212796703871347,H
L25.5,0.13168539279632255,-0.2255217471572034,L
H53.03,4.349075178443784,1.3373287497560218,H
H73,2.2736249479053328,0.66653378091397,H
R01,3.3349786005707265,0.7064790638438386,R
Z38.01,1.2690755645279599,0.2718839638196385,Z
J20,-0.6233374776171801,0.24685763555827714,J
J96,4.76680434581838,1.5475510224727025,J
H92.09,0.1932071505798292,0.018295278940188772,H
R11.0,4.022020090682135,0.9904780642329861,R
Z87,5.3809389937980505,2.058767416191056,Z
J21.8,-0.35615063460053203,-0.05624859558285707,J
Z04.3,1.3565053401195593,0.04296651803723467,Z
J64,0.16134595191949822,0.009145865136307885,J
H10.33,-1.027949885462859,0.08557607686069263,H
H10.32,3.6421568720407276,1.129048453689642,H
P07.17,5.340380555744471,1.6061844144389823,P
H61.23,1.1295193028206922,0.5913765834572704,H
R32,4.458696383042974,1.4456475120832202,R
Z28.9,3.7402927592926876,1.212776952667228,Z
R45.89,4.318574327316435,1.2212143715179722,R
H10.31,3.978840215927669,1.142653704103093,H
R50,1.164732359307551,0.16831766980779184,R
H92.10,-0.3669102032483925,-0.12953489184630096,H
R10.9,2.5201159877221295,0.6055300767563587,R
H50.52,4.39601853002504,1.2600352741136764,H
Z38.00,-0.46371330659092896,-0.034973144142375914,Z
J81,4.566020774678071,1.4366468087710489,J
Z71.3,3.2845904576010314,0.8649576521556868,Z
P55.0,1.4484610759158456,0.197248153858258,P
R63.6,7.4813068796872395,2.7492213122788685,R
H91.8X,3.6527439023909993,0.7772181049902109,H
L20.82,3.814555685855923,1.0603930399692365,L
L08,0.7214027022692223,0.39803801416167606,L
P83.81,3.8426429503713515,0.8800081879346107,P
J30.9,5.786701951270028,1.9618295686535108,J
H66.91,4.097209442478606,1.3969742209956917,H
Z83.2,4.951171683074705,1.5351023916006372,Z
H66.3X,0.394331154257586,0.03881626447743172,H
H92.01,5.728122886257199,2.166799123369633,H
J30.81,5.232388007171251,1.5826478610692063,J
Z86,4.539630057924505,1.5802991439105478,Z
R09.02,4.82683553712004,1.5644750037602715,R
R23,5.025365699351043,1.8952180272046064,R
J15,2.6013688888598168,0.7087631983428155,J
L25.3,0.3081356961148149,-0.218937234468726,L
L25.2,-0.6452841085327177,0.14958905899019154,L
R04,1.845546537284348,0.5820354999893336,R
Z91.01,4.932804728040809,1.645869379993965,Z
L42,-0.5984461144353058,0.1536477430199835,L
H65.33,4.815528958559372,1.4366927797611355,H
P03.1,3.2020641453477743,0.9455617045637139,P
J30.5,2.2416974809335355,0.5491187310999184,J
H65.93,4.811647533268721,1.6381225700369708,H
Z77.01,0.681878674656281,0.16952160574937616,Z
Z01.11,4.723294522617826,1.5953451576533766,Z
J35.02,2.054834538609346,0.16873375392532403,J
H01,1.687163530288816,0.16705680297545755,H
P22.9,4.456521123114287,1.0601867822204043,P
R50.9,1.1660149327514249,0.3123476013768133,R
Z98.89,4.653849379691018,1.616609089100793,Z
L02.91,3.584831176760371,1.2983674388617317,L
H00,0.7309421057773835,0.19512177723272844,H
R59.9,1.0076135708431808,0.1502619487829494,R
P09,5.188753748033769,1.794935043235232,P
H66.92,6.702524134371802,2.9353887150174858,H
P92.09,5.1276407040546035,1.5609392097422792,P
R41,4.513004893393819,1.532651202479746,R
J39.2,4.172245903224761,1.0164328681637873,J
L01.01,4.384150951685127,1.09735149818127,L
P96,3.2341848429427675,0.950779635922817,P
Z51,5.179515593792194,1.7507005533856035,Z
J03.00,2.6909099106622634,0.6396529426237477,J
Z76.2,0.47101126614694816,-0.022613173338602036,Z
J01.00,0.4379705331001438,-0.010449445822664175,J
P00,2.8645389245096546,0.8046354777425009,P
L81.9,4.841422150323158,1.9418866133874846,L
H04.53,1.1433461507705764,0.38005418278127057,H
H65.00,-0.2612503667718514,0.14911392737285434,H
R94,4.5413617480272706,1.5685881387984482,R
R05,0.895636127613396,0.12100152867084987,R
Z41.8,1.8390417183098853,0.09773498163405764,Z
H92.02,5.566673251236331,2.161772628406056,H
R59.0,4.890953904663229,1.4568156801251517,R
R26.2,4.940505924504371,1.5150742536339923,R
L70,1.8451882782204425,0.6445856876146125,L
P29.11,4.45096500153347,1.1883618577512645,P
Z71.82,6.4929074002559215,2.358828203798147,Z
H10.30,2.5937073888146203,0.6162026829639269,H
R17,1.2280322786319557,0.31100014861883435,R
J84,3.4589438189391464,0.8942912216288356,J
P81,5.766469462050744,1.7806203935159546,P
H65.90,-0.12815349809392085,0.1433251249774352,H
R45.83,4.616499260869211,1.6045626114277434,R
P07.10,4.597620963300194,1.546964189003707,P
Z68.52,3.159523562000401,0.911904469346695,Z
Z38.30,5.871537002717593,1.7612204817454362,Z
J98.8,7.199970595728243,2.8070468983175014,J
R34,4.613022022854271,1.210684283201161,R
L20.83,4.700487408036097,1.2362132799886127,L
Z71,3.333900670151618,0.8718221914517075,Z
L98.0,0.7691596717937121,0.2454826374270852,L
R06.9,4.8156036991489515,1.4144433669306742,R
Z79,4.697932187317018,1.5491630720425402,Z
R30.0,-2.4640643275929337,0.9048345391940319,R
P07.39,4.625516204491916,1.3454850857291483,P
L98.8,1.3370339378145277,0.19305715821467875,L
H00.19,1.2092017180041064,-0.12716512808920333,H
Z28.21,1.2862896965675754,0.36769350795697153,Z
Z08,0.37600187370260996,-0.05210003885463192,Z
H92.12,4.512494382419166,1.295666099093102,H
H50.00,5.419033801577013,1.949859067738424,H
J42,1.4025453156448502,0.4939541175466594,J
