ln_true,ln_naive,se_naive,ln_lam,se_lam,lam,feasible,n,varphi,pi,theta,p_sel,q_sel,detK,a_hat,b_hat,c_hat,d_hat,n_sweep
0.6931471805599453,0.3165900648253942,0.05686798836748015,0.8584950813984249,0.07494776170082895,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,665.5000000000002,321.16666666666686,1876.5,2136.8333333333335,5000
0.6931471805599453,0.31031425138025703,0.05684223313182742,0.83489717880914,0.07420295688145483,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,646.5000000000002,338.5000000000001,1819.5,2195.5,5000
0.6931471805599453,0.23691300910675753,0.056743125245440104,0.6114525530838391,0.07173609284454743,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,644.7500000000002,386.9166666666667,1884.25,2084.0833333333335,5000
0.6931471805599453,0.2803615740979003,0.05674911147530057,0.7040659959711109,0.0709039640085659,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,674.7500000000002,396.9166666666667,1794.25,2134.0833333333335,5000
0.6931471805599453,0.22500863275524785,0.056790062669811334,0.6123918495545809,0.07375576869867267,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,598.0,360.3333333333334,1914.0,2127.666666666667,5000
0.6931471805599453,0.1936267617104306,0.05675675949631971,0.5211243296107713,0.0729575019011143,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,584.8333333333335,381.8333333333334,1921.1666666666667,2112.166666666667,5000
0.6931471805599453,0.2501885486154726,0.056746882030345266,0.6451454010767901,0.07169478774544541,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,640.0833333333335,389.91666666666674,1836.9166666666667,2133.0833333333335,5000
0.6931471805599453,0.3025913618585882,0.05681983473377024,0.8026633676446893,0.07347760344283516,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,651.4166666666667,350.2500000000001,1817.5833333333335,2180.75,5000
0.6931471805599453,0.2779567978566434,0.05673556853387298,0.6895667979240283,0.07048607323608201,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,692.5833333333335,400.75000000000017,1814.4166666666667,2092.25,5000
0.6931471805599453,0.18751403576160033,0.05669948014548287,0.48015393748136925,0.07095041192036197,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,617.3333333333335,416.00000000000017,1898.6666666666667,2068.0,5000
0.6931471805599453,0.315599842878799,0.05683282574063251,0.8395004610368204,0.07384050077541028,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,662.5833333333334,340.7500000000001,1824.4166666666667,2172.25,5000
0.6931471805599453,0.2974636622943775,0.056850968034080365,0.816157057739695,0.07495319060187125,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,630.5,329.5,1851.5,2188.5,5000
0.6931471805599453,0.26157141129222355,0.05680569291211653,0.7063307556806675,0.07384839131283774,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,624.75,350.25,1884.25,2140.75,5000
0.6931471805599453,0.24796497807612478,0.056701390006725305,0.6034880365643351,0.06934797499787385,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,675.5833333333335,436.08333333333337,1783.4166666666667,2104.916666666667,5000
0.6931471805599453,0.253269485866523,0.05679013564276783,0.6793487266884455,0.07340772113451884,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,619.6666666666667,360.33333333333337,1872.3333333333335,2147.666666666667,5000
0.6931471805599453,0.25264680025320996,0.05677601818314952,0.6670162855449988,0.0728156090872433,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,636.6666666666667,366.6666666666667,1883.3333333333335,2113.3333333333335,5000
0.6931471805599453,0.3566601932700295,0.056892823316233604,0.9597425096382844,0.07518439679408548,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,692.5833333333335,312.41666666666686,1834.4166666666667,2160.5833333333335,5000
0.6931471805599453,0.18815095155580075,0.056718812487096266,0.49013326394794077,0.07163713775640175,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,606.6666666666667,403.3333333333335,1913.3333333333335,2076.666666666667,5000
0.6931471805599453,0.3397743171867793,0.057036017785256,1.0488046977067775,0.08147526229081571,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,587.8333333333335,252.16666666666683,1870.1666666666667,2289.8333333333335,5000
0.6931471805599453,0.20266379185408334,0.05678436315241216,0.5533650759451649,0.07369235864179763,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,585.9166666666669,365.75,1941.0833333333335,2107.25,5000
0.6931471805599453,0.28323015367287,0.05686032141316232,0.7826947675113737,0.07528567692208629,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,631.6666666666667,323.33333333333337,1908.3333333333335,2136.666666666667,5000
0.6931471805599453,0.3285328249213546,0.05689625191655162,0.9128490713538817,0.07616446081270484,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,650.7500000000001,305.91666666666674,1862.25,2181.0833333333335,5000
0.6931471805599453,0.332112338635355,0.05687536430894874,0.890645504484382,0.07423769555416632,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,651.0000000000002,337.3333333333335,1773.0,2238.666666666667,5000
0.6931471805599453,0.27379515823136785,0.05680645764091299,0.7315324470974538,0.0733846769461366,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,625.6666666666667,359.33333333333337,1830.3333333333335,2184.666666666667,5000
0.6931471805599453,0.22132922367759256,0.056743071876321896,0.5801039342174972,0.07207989884089323,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,612.25,391.0833333333334,1866.75,2129.916666666667,5000
0.6931471805599453,0.2643524851789067,0.056846875211502515,0.7386492805039064,0.07531387530227816,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,600.3333333333335,331.3333333333334,1887.6666666666667,2180.666666666667,5000
0.6931471805599453,0.26900836676250034,0.05681281563208194,0.727897905155015,0.07401264702695594,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,626.5833333333335,346.75,1876.4166666666667,2150.25,5000
0.6931471805599453,0.24988741381710627,0.056724582514555914,0.6281258363709536,0.07076448815579547,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,668.4166666666667,401.5833333333335,1848.5833333333335,2081.416666666667,5000
0.6931471805599453,0.3250866212800111,0.056874372007760965,0.8777810117111388,0.07491312664092346,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,675.3333333333335,319.66666666666686,1872.6666666666667,2132.3333333333335,5000
0.6931471805599453,0.24947516829846533,0.056769672830353717,0.6489928898925337,0.07194845484123806,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,622.4166666666667,390.9166666666667,1810.5833333333335,2176.0833333333335,5000
0.6931471805599453,0.2773299196502239,0.05681565754080878,0.7476980420350778,0.07397406619382847,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,634.8333333333335,345.16666666666686,1871.1666666666667,2148.8333333333335,5000
0.6931471805599453,0.26920363629200017,0.0567619569574062,0.6890614396341782,0.07175496783086473,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,671.8333333333335,378.16666666666674,1862.1666666666667,2087.8333333333335,5000
0.6931471805599453,0.3247620409122195,0.0568189193329599,0.8440814781205112,0.07292175237094926,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,682.1666666666669,352.8333333333334,1799.8333333333335,2165.166666666667,5000
0.6931471805599453,0.32695887934092505,0.0569041217592903,0.9158683715548003,0.07652076249196896,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,644.6666666666669,302.0,1867.3333333333335,2186.0,5000
0.6931471805599453,0.2963290497843885,0.05681332111819801,0.7866628355629751,0.07348969021933018,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,652.0,349.66666666666686,1836.0,2162.3333333333335,5000
0.6931471805599453,0.18189969983897555,0.056739499763342395,0.4842345045148495,0.07244098111943836,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,587.8333333333335,392.16666666666686,1930.1666666666667,2089.8333333333335,5000
0.6931471805599453,0.22302023712804253,0.05677860442139795,0.6002057359068642,0.07330217876699424,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,607.0833333333335,366.25000000000017,1917.9166666666667,2108.75,5000
0.6931471805599453,0.19897667908048702,0.05672131276553324,0.5169366989962093,0.0716119351006118,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,614.0000000000001,401.00000000000017,1902.0,2083.0,5000
0.6931471805599453,0.2694915732714253,0.056734309305529924,0.6743019824568065,0.07072370951361882,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,678.9166666666667,399.4166666666667,1820.0833333333335,2101.5833333333335,5000
0.6931471805599453,0.13913488617879735,0.056706463644747684,0.3657374691725135,0.07164325223243372,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,573.1666666666667,418.5000000000001,1952.8333333333335,2055.5,5000
0.6931471805599453,0.20043177819564828,0.056732046680885335,0.5266214364418738,0.07202723209463423,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,602.3333333333334,396.0000000000001,1893.6666666666667,2108.0,5000
0.6931471805599453,0.3574320495813934,0.05686342946599405,0.9377965804080356,0.07376283590961953,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,692.5833333333335,335.75,1774.4166666666667,2197.25,5000
0.6931471805599453,0.2866561016854583,0.056773522105949964,0.7302437629666187,0.07150259403561034,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,662.5833333333335,387.41666666666674,1784.4166666666667,2165.5833333333335,5000
0.6931471805599453,0.17471521285870537,0.056753804930046975,0.4694827316666228,0.07280513898480162,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,582.25,386.0833333333334,1956.75,2074.916666666667,5000
0.6931471805599453,0.24494347691366733,0.05681606149085456,0.6745194304503306,0.07446261774991679,0.0,True,5000,0.5,0.2,0.6931471805599453,0.95,0.65,0.6000000000000001,600.5000000000002,346.1666666666667,1901.5,2151.8333333333335,5000
