ln_true,ln_naive,se_naive,ln_lam,se_lam,lam,feasible,n,varphi,pi,theta,p_sel,q_sel,detK,a_hat,b_hat,c_hat,d_hat,m
0.6931471805599453,0.5854085422524362,0.035295280622074154,0.6386923940699661,0.036248014467014214,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2523.208333333334,1500.7500000000002,7512.791666666666,8463.25,0.02
0.6931471805599453,0.6757998285647335,0.035940139926355294,0.7405611727868028,0.037043502406843364,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2500.8125,1383.5625000000002,7460.187499999999,8655.4375,0.02
0.6931471805599453,0.6633397106950596,0.03554127199703984,0.7246089067183143,0.036561671065524715,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2580.625,1432.9166666666667,7449.374999999999,8537.083333333332,0.02
0.6931471805599453,0.6428271964912684,0.0357079864677731,0.703304684124499,0.03675505367842921,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2509.479166666667,1423.8541666666667,7485.520833333333,8581.145833333332,0.02
0.6931471805599453,0.6399552447754263,0.03520997265727751,0.6975892681257184,0.036161578834487604,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2582.5833333333335,1497.625,7353.416666666666,8566.375,0.02
0.6931471805599453,0.6887301595076757,0.03563195603356042,0.7528791024905808,0.03667828193235324,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2568.0208333333335,1419.4791666666667,7366.979166666666,8645.520833333332,0.02
0.6931471805599453,0.6145870899484398,0.0352975933941246,0.6704465802451897,0.03625858981512629,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2548.104166666667,1491.4791666666667,7442.895833333333,8517.520833333332,0.02
0.6931471805599453,0.6708352935567976,0.03525015870547474,0.7311895897804394,0.03621737269832059,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2634.625,1472.6666666666667,7353.374999999999,8539.333333333332,0.02
0.6931471805599453,0.6314133966212621,0.03544082631844508,0.6894507386793252,0.03643324512202748,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2545.854166666667,1463.5208333333335,7453.145833333333,8537.479166666666,0.02
0.6931471805599453,0.6202569858640196,0.03554696026593223,0.6775073468601513,0.036553753649280346,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2577.916666666667,1433.5416666666667,7632.083333333333,8356.458333333332,0.02
0.6931471805599453,0.6487773006633456,0.03541240592173297,0.7081752869802518,0.03640434250767263,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2570.1458333333335,1461.1041666666667,7412.854166666666,8555.895833333332,0.02
0.6931471805599453,0.638642885184015,0.03556329550438408,0.6978958405905548,0.03658081335131167,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2544.041666666667,1440.3333333333333,7491.958333333333,8523.666666666666,0.02
0.6931471805599453,0.6465308181740772,0.03556377716808791,0.7064586806544996,0.03658358264267666,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2556.4375000000005,1436.2708333333335,7484.562499999999,8522.729166666666,0.02
0.6931471805599453,0.6484205066792942,0.03575127682616524,0.7094188838652096,0.03680726052097784,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2543.666666666667,1405.2916666666667,7560.333333333333,8490.708333333332,0.02
0.6931471805599453,0.6931161672219923,0.03566840107314723,0.7574846038777056,0.03672129407526203,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2625.7708333333335,1396.1041666666667,7487.229166666666,8490.895833333332,0.02
0.6931471805599453,0.6556981771440276,0.035480332166340986,0.7160852443616398,0.036487290711182424,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2562.104166666667,1450.3958333333335,7406.895833333333,8580.604166666666,0.02
0.6931471805599453,0.6362947157519547,0.03578485587913579,0.696448479389281,0.03684407345385913,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2514.8750000000005,1408.0416666666667,7571.124999999999,8505.958333333332,0.02
0.6931471805599453,0.6668463600250967,0.035701256268043574,0.7294870112017684,0.036754528400447274,0.0,True,20000,0.5,0.2,0.6931471805599453,0.98,0.98,0.96,2526.25,1419.5833333333333,7413.749999999999,8640.416666666666,0.02
