feature,beta_true,logOR_true,a,b,c,d,a_obs,b_obs,c_obs,d_obs,logOR_naive,se_naive,p_naive,logOR_lambda,se_lambda,p_lambda,a_hat,b_hat,c_hat,d_hat
43,-0.029272058419334543,-0.022570386577764893,149031,150553,151140,149276,164074,135510,166183,134233,-0.02224031383115544,0.005190514811833158,1.8290429011614996e-05,-0.04203286930582271,0.005292093497898812,1.980205696358913e-15,142688.31168831163,142629.78354978355,146090.64935064933,140019.82683982686
44,-0.003044783591391806,-0.004039767732424632,149846,150222,150081,149851,164962,135106,164913,135019,-0.0003470625365422087,0.0051897663467205405,0.9466816892613832,-0.000656048923666857,0.005291675646444243,0.9013330591475581,144051.42857142852,141727.61904761905,144032.987012987,141616.5367965368
45,0.0029584334018772957,0.0029720078989111023,150441,150169,149608,149782,165723,134887,164663,134727,0.005229861657858449,0.005190675635697981,0.3136708738790164,0.009883183135912566,0.005291872662399045,0.06181569153689451,145153.50649350646,141141.73160173162,143859.99999999997,141273.33333333334
46,0.0011025992277606835,0.0001600532154106824,150046,150047,149941,149966,165412,134681,165127,134780,0.0024592488442886705,0.005190935797925895,0.6356722843711347,0.004647007063716447,0.005291911969363069,0.3798710818144059,144856.62337662335,140946.23376623378,144435.0649350649,141190.64935064936
47,-0.015686873287800617,-0.02540304655787493,149306,151023,150882,148789,164850,135479,165173,134498,-0.00922472482155987,0.005190044308210198,0.07550434937513766,-0.01743601978402187,0.005291773065457953,0.000984463347477069,143712.20779220777,142315.41125541125,144641.29870129866,140759.65367965368
48,0.01839661115095406,0.02065505232239937,150518,148909,149542,151031,164984,134443,164893,135680,0.00971053987620439,0.005189799660381257,0.06133373885652085,0.01835578465055902,0.005291742147694309,0.0005228658923832957,144424.41558441558,140744.15584415584,143663.63636363632,142596.36363636365
49,0.027611798181006755,0.02659319828867293,151400,149005,149000,150595,165642,134763,164675,134920,0.007019306517191257,0.005190551578143139,0.17627174886523922,0.013265314283804085,0.00529185325972861,0.01218493898864656,145112.72727272724,140987.27272727274,143775.32467532463,141553.24675324676
50,0.00994112112196149,0.007945989670743588,150117,149569,149835,150479,164940,134746,164826,135488,0.006182927730330637,0.005189587765480276,0.23349259570774972,0.011688264886961938,0.00529167199891072,0.027188295003593446,144209.8701298701,141205.36796536797,143676.3636363636,142336.9696969697
51,-0.025351936352369337,-0.028658284083460644,149358,151372,150777,148493,164589,136141,165614,133656,-0.024630013438067543,0.0051904725233456895,2.082640972217534e-06,-0.04655074259611593,0.00529215585188401,1.4155552845501007e-18,143029.3506493506,143380.17316017317,145651.42857142852,139367.61904761905
52,0.02266941688252508,0.024861224136141676,151293,149044,149091,150572,165845,134492,164410,135253,0.01433264286790023,0.005190465087533407,0.005756457854429481,0.0270874396864761,0.0052919209249235434,3.07746268184534e-07,145517.1428571428,140518.09523809524,143258.1818181818,142135.15151515152
