j,is_signal,w_base,logOR_true,p_true,logOR_noisy,p_noisy,logOR_lambda,p_lambda,se_lambda,var_counts_lambda,var_extra_lambda
41,0,0.002229432497794265,0.8840485293832263,0.0,0.6100379185325978,3.521438171615947e-216,1.5010746376511925,1.2509381135513864e-138,0.05989138213439232,0.003331917637835717,0.00025506001613208974
42,0,0.002164812918685972,0.8941308367080593,0.0,0.6310699771317632,2.0791918558367323e-225,1.5648618099536542,1.4162892606142725e-139,0.06222136025846382,0.003616437656281451,0.00025506001613208974
43,0,0.0021034882713353875,0.9201568400192756,0.0,0.6015539289161113,2.4004757373936864e-201,1.477107069416211,7.825653552190269e-131,0.060692147089716576,0.0034284767022277024,0.00025506001613208974
44,0,0.0020452212583461195,0.9219072238407635,0.0,0.5954681164343892,1.175674127016083e-194,1.4595888107839183,1.111633114499709e-127,0.060719787174432036,0.0034318325383762313,0.00025506001613208974
45,0,0.001989796445943429,0.9355304110623104,0.0,0.6374100299770735,5.3513950876257935e-216,1.5860809907559095,4.132973158438147e-132,0.06484906792064436,0.003950341594044256,0.00025506001613208974
46,0,0.0019370178283905793,0.8804108920187461,0.0,0.5885137326716926,1.2407812223480853e-181,1.4402939672176267,1.9819289303742396e-120,0.061723895095581204,0.003554779209638224,0.00025506001613208974
47,0,0.0018867067086926477,0.9224143264772403,0.0,0.6098628873166864,2.0583985039789621e-190,1.5035997134419647,4.529407286257537e-122,0.06399509057600954,0.0038403116016995737,0.00025506001613208974
48,0,0.0018386998489128632,0.9137313580279772,0.0,0.630872422424854,8.912176008199396e-197,1.5679704610294367,1.2579356992626223e-121,0.06685839243199705,0.00421498462245883,0.00025506001613208974
49,0,0.0017928478511080018,0.8920737707918811,0.0,0.5869177264746118,4.724358629358983e-168,1.4370370248141076,9.538229918415118e-112,0.06397333531850889,0.003837527615642288,0.00025506001613208974
50,0,0.0017490137361812505,0.9017261744587479,0.0,0.6022182406868608,8.219809945133158e-175,1.4821837707710226,1.8266315120622286e-113,0.06547291338046589,0.0040316423703939,0.00025506001613208974
51,0,0.0017070716931263147,0.9040072459706657,0.0,0.5961784090375469,4.34994251110536e-166,1.4649513044631601,7.270492728866722e-109,0.06608923825336527,0.004112727396777989,0.00025506001613208974
52,0,0.0016669059754109013,0.9240203124145133,0.0,0.6040863372079421,5.0152081967180466e-164,1.4891331692109475,3.9527423124340855e-106,0.06805641199157705,0.004376615197035183,0.00025506001613208974
53,0,0.0016284099247916206,0.8946288627574346,0.0,0.6105592143411916,1.5405049854291076e-165,1.5087497645164054,6.178462022292719e-106,0.06901721447758927,0.004508315878113468,0.00025506001613208974
54,0,0.0015914851058016304,0.9071942502691018,0.0,0.6341294443123907,2.199539353234116e-170,1.5818165585989175,1.9116857793244205e-104,0.07288386133236013,0.005056997226582611,0.00025506001613208974
55,0,0.0015560405366156053,0.9091030622899142,0.0,0.6231606296280964,5.40182518697329e-165,1.5479074304382248,3.1492411714102417e-103,0.07174859948772841,0.0048928015123183705,0.00025506001613208974
56,0,0.001521992004061022,0.9339287755907635,0.0,0.6430260152594557,1.8583905150571722e-171,1.6101810303747048,2.8424138395126313e-103,0.0746187080906551,0.005312891580986307,0.00025506001613208974
57,0,0.0014892614522806632,0.9007363768955192,0.0,0.6182733000152982,6.686809053625983e-157,1.5336914481297312,5.189713291846009e-99,0.07261734830745373,0.005018219259073962,0.00025506001613208974
58,0,0.001457776436015582,0.9046124451820979,0.0,0.6523282725740124,9.167399826026808e-170,1.640692049971058,2.8232460257058594e-100,0.07718260366649417,0.0057020942926070285,0.00025506001613208974
59,0,0.0014274696307168568,0.9332186355210853,0.0,0.6576297292787334,1.809236924075596e-167,1.6585069698169606,9.148003808636848e-98,0.07903604856956702,0.0059916369573588665,0.00025506001613208974
60,0,0.0013982783927460288,0.8915167149704198,0.0,0.6299335627989587,8.000793418107342e-155,1.5706001192174142,1.4394965267887698e-95,0.07571975671086664,0.005478421540220745,0.00025506001613208974
61,0,0.0013701443638191458,0.8840589426501738,7.071685371104324e-302,0.6332667317077895,3.1529051921107703e-152,1.5815546484506755,2.453385483315675e-93,0.07717294389084954,0.005700603252648122,0.00025506001613208974
62,0,0.001343013114613199,0.8744087524362436,1.0327647182471e-290,0.5955303345278933,8.489238204377006e-134,1.466744219784595,7.705107346682678e-88,0.07382455058498127,0.00519500425294237,0.00025506001613208974
63,0,0.0013168338231074306,0.8803158658896002,2.6337325489633757e-292,0.6287535734189122,1.2249365594328134e-146,1.5679670115250597,1.1296946452397814e-90,0.07764931822155564,0.005774356604140322,0.00025506001613208974
64,0,0.001291558983792845,0.9325643423858581,0.0,0.6358679304181002,4.984823558081148e-145,1.5908743258063793,2.0668124767798175e-88,0.0798073634318518,0.006114155241811586,0.00025506001613208974
65,0,0.0012671441443656431,0.8296135058442167,1.3684046669915694e-250,0.5504777380008758,7.493472823240758e-110,1.336762172077646,2.0290231010440557e-77,0.0717739042991595,0.004896433322212817,0.00025506001613208974
66,0,0.0012435476669362365,0.9070384873872098,5.969093505954314e-292,0.5853887114926035,3.9372386709722923e-122,1.4375966778072697,1.4301800957931635e-81,0.07515016298558871,0.005392486980628457,0.00025506001613208974
67,0,0.001220730511144942,0.898450127874245,1.923542297827315e-279,0.6207313181092216,3.365982037627756e-132,1.5445903963738365,5.897782615104733e-83,0.0800506497707154,0.006153046512581646,0.00025506001613208974
68,0,0.0011986560368868206,0.9176233375688073,4.89635522481393e-283,0.6736727799114854,2.295740973836229e-149,1.7153748104436868,8.1794738408299635e-84,0.08843501875544063,0.007565692526143047,0.00025506001613208974
69,0,0.001177289824618406,0.8769898601026046,2.9192718892810773e-254,0.5610693819444794,1.3749868199697734e-104,1.367844207564652,1.1765850334810134e-72,0.07587370430118012,0.005501758988250829,0.00025506001613208974
70,0,0.0011565995114542107,0.877401989791657,3.6852571514269765e-257,0.5755758122440895,1.0474787351437349e-110,1.4097012816240952,3.5955268041381864e-75,0.07684239833763155,0.005649694166147151,0.00025506001613208974
71,0,0.0011365546414658751,0.9339561295900296,1.979827926526345e-281,0.6352950573763598,9.316029541717544e-130,1.5911863322682196,4.22169206667427e-79,0.08449904430049732,0.006885028471565318,0.00025506001613208974
72,0,0.0011171265287758855,0.9317103460092419,1.3322355416979416e-273,0.640852083786259,1.0812745959149154e-128,1.6092837186009437,1.5174287845355252e-77,0.086334151753947,0.007198525742941459,0.00025506001613208974
73,0,0.0010982881321944893,0.880572981852845,1.3129588681322074e-246,0.6180851124993891,4.851977222687912e-120,1.5378965373447238,1.1201222034739531e-75,0.08354213213958986,0.006724227826296602,0.00025506001613208974
74,0,0.0010800139402858634,0.903122585368169,4.5109051629006174e-250,0.5861434498471505,7.95549658826565e-106,1.4417263205223103,1.166715133372143e-70,0.0811239276156547,0.006326031615657894,0.00025506001613208974
75,0,0.0010622798658702973,0.8623574721181639,1.0430676773158008e-227,0.5644038332664768,1.210847513898654e-97,1.3782816862630196,1.488566107042884e-67,0.07936593697023973,0.0060438919350319755,0.00025506001613208974
76,0,0.0010450631490754082,0.9204388876056061,4.484091388587443e-252,0.6157746070645396,8.206115200526919e-113,1.5316160779350827,2.0045473801413804e-71,0.08570674290410456,0.007090585763098187,0.00025506001613208974
77,0,0.0010283422681430588,0.9183493887527724,6.9847901677815e-244,0.6175230699120592,3.595902826593567e-110,1.537443356397961,1.6246675879287415e-69,0.08723798076148824,0.007355405271209702,0.00025506001613208974
78,0,0.0010120968572813636,0.9298497277877804,1.0576643591928883e-250,0.5862552202301223,6.431130565687282e-101,1.4426323911346683,2.1602369654708014e-67,0.08317389070877489,0.00666283607950314,0.00025506001613208974
79,0,0.00099630763092434,0.8987422244493039,6.483358135726219e-234,0.5803547566167861,3.9840758967413654e-98,1.4252951992285718,3.443900553598915e-66,0.0829386901930303,0.0066237663148033706,0.00025506001613208974
80,0,0.0009809563138265768,0.9509316784591643,2.9566787931523904e-250,0.6205431999075554,2.1372108878255027e-107,1.5473165485651637,2.297687653666507e-67,0.08922761456469783,0.007706507184774187,0.00025506001613208974
81,0,0.0009660255764778191,0.8632159011112088,5.499007529417319e-211,0.557562914227764,2.0447061555545545e-88,1.3593383275382933,6.897207327497578e-62,0.0818847810959153,0.006450057358993876,0.00025506001613208974
82,0,0.0009514989753734896,0.9259743358641876,3.0619501511688295e-235,0.5959117605966042,2.628107285907271e-98,1.4721550109626909,1.4300651849157384e-64,0.08676347587303622,0.007272840729438848,0.00025506001613208974
83,0,0.000937360897722666,0.9058296012473198,1.1680173951742283e-224,0.6130620354143512,1.1462729544233105e-102,1.5244768876841668,2.4639509295504325e-65,0.08930514565932667,0.007720349025101462,0.00025506001613208974
84,0,0.0009235965102155893,0.9099529117034632,5.959498867203437e-218,0.6222338567597391,1.621095901265714e-101,1.553460966243613,1.853947093647013e-63,0.09237830994850336,0.008278692132809665,0.00025506001613208974
85,0,0.0009101917115089822,0.936355210588634,3.1301343266210746e-232,0.6279829049296316,1.2956140955503574e-104,1.5713080844023228,1.201108617594575e-64,0.09255131826281723,0.008310686496053196,0.00025506001613208974
86,0,0.0008971330881198096,0.8862858179049046,2.350644931658332e-207,0.6052271378358051,2.981739653489613e-96,1.5009846119557244,3.617299651277685e-62,0.09020711343416822,0.007882263297992803,0.00025506001613208974
87,0,0.0008844078734470799,0.8734303440945094,1.823209047248066e-194,0.6302806094035487,1.2518830248236877e-99,1.5793674207047994,2.8747075638019894e-61,0.0956338945789891,0.008890781776213112,0.00025506001613208974
88,0,0.0008720039096672348,0.8192467058236982,6.264764984884588e-171,0.6012723098160396,3.1218380107384966e-90,1.4895647727187507,1.0133952089577269e-58,0.09219302450504317,0.0082444937512554,0.00025506001613208974
89,0,0.0008599096122719715,0.9339671567141018,1.8851454685154563e-211,0.6335244402864054,2.805504734472234e-97,1.5901410469673205,2.0467043436703486e-59,0.09782258132296962,0.009314197400556914,0.00025506001613208974
90,0,0.0008481139370382678,0.9252061862154229,1.4620008703367574e-211,0.6148073262573768,9.280349617211162e-94,1.5311194402591257,1.8028333275963105e-59,0.0941466555661616,0.008608532738161378,0.00025506001613208974
91,0,0.0008366063492392057,0.9529152908867444,9.74336226049208e-223,0.6184483877237561,8.284556666069195e-95,1.5424216316793937,1.0414929978695063e-59,0.09464619679434484,0.008702842551501761,0.00025506001613208974
92,0,0.0008253767949211443,0.8538797950663116,6.317213141014894e-180,0.5790025143416103,1.9231926771170313e-82,1.423061153301232,7.995655000101059e-56,0.09040828495280605,0.007918597971975685,0.00025506001613208974
93,0,0.0008144156740880864,0.9335612770282552,2.774339347295495e-206,0.6513379677720647,8.701573010608265e-100,1.6480743228866426,1.247099506714222e-58,0.10208446513629547,0.010166178006031437,0.00025506001613208974
94,0,0.0008037138156478822,0.9203827512137319,1.0775946734016448e-202,0.6730814811810758,1.7583197482727328e-106,1.7205806133374177,1.8567232507212137e-59,0.10580813007905471,0.010940300374694073,0.00025506001613208974
95,0,0.0007932624539873911,0.9433124106661221,1.3811316393110636e-207,0.6429894618401781,2.0331315439579753e-96,1.621045736426942,1.0529450324161405e-57,0.10123915581300064,0.00999430665359693,0.00025506001613208974
96,0,0.0007830532070550081,0.8851235044565441,2.281839454001873e-179,0.6074428906865177,3.926392845881467e-84,1.5094198306347573,3.849994655486694e-54,0.09742402541123926,0.009236380711197702,0.00025506001613208974
97,0,0.0007730780558391865,0.8830014584742512,5.138140499323435e-180,0.5979272381347742,2.011825708967687e-82,1.480286229867092,5.39955136058052e-54,0.09567798445483418,0.0088992166932074,0.00025506001613208974
98,0,0.0007633293251408517,0.9133187988388964,2.719548332067258e-187,0.6509896713591306,4.522838675955154e-94,1.6478173924308266,2.6936908168220792e-55,0.1052021686973722,0.01081243628249827,0.00025506001613208974
99,0,0.0007537996655460221,0.9117194651802625,9.203769590495805e-187,0.5888543158437142,1.0790504540812031e-78,1.4531181037959828,2.0572764343847006e-52,0.09537747565297544,0.008841802845801834,0.00025506001613208974
100,0,0.0007444820365125883,0.8810842461773475,2.0439502775461077e-170,0.552953400037973,4.278151337623074e-68,1.348105766036252,3.518532718762553e-48,0.09243335528169976,0.008288865152500843,0.00025506001613208974
101,0,0.0007353696904921598,0.9604952746533824,2.6050806994662503e-197,0.6182891917886522,5.766704878016823e-83,1.5435456456859418,2.808098035781262e-52,0.10144830544360377,0.010036698661246636,0.00025506001613208974
102,0,0.0007264561580142074,0.9102123844761862,2.418850609825045e-182,0.6650881504070066,1.0762989644805906e-95,1.695004531152165,1.9830641127716998e-54,0.10910252055694641,0.011648299975746824,0.00025506001613208974
103,0,0.0007177352336655034,0.9074746631561201,3.903936064280953e-174,0.5853342561290389,3.028013197518534e-73,1.443145609240992,4.0648743674179234e-49,0.0979653142292446,0.009342142775902543,0.00025506001613208974
104,0,0.0007092009629031164,0.9442475901444418,1.2646884522399867e-189,0.5682122821468293,1.3887787535738864e-70,1.3924052217870713,9.79946011312252e-49,0.09490474399666958,0.0087518504169413,0.00025506001613208974
105,0,0.0007008476296440117,0.9270243425344441,6.554895640167144e-178,0.5915637557306019,1.6151739647719495e-73,1.461977747931577,9.278474004439084e-49,0.0996215635207175,0.00966939590218026,0.00025506001613208974
106,0,0.0006926697445787059,0.8961846183336335,3.4045285108568267e-163,0.575216294289512,4.841799695161662e-68,1.4134497914587438,1.8445687655855236e-46,0.09876059118738553,0.009498594355549802,0.00025506001613208974
107,0,0.0006846620341604223,0.9239334297926016,2.9289530522358173e-173,0.5876828445388073,3.4364735747565992e-71,1.4504916963586634,1.4813729693240885e-47,0.10012928281049446,0.009770813260011892,0.00025506001613208974
108,0,0.0006768194302248705,0.9463815701440453,1.6078543998928694e-180,0.649703528937342,4.5680814172687446e-85,1.6449702166541504,3.9453885162677294e-50,0.11048985597203718,0.011952948256589432,0.00025506001613208974
109,0,0.0006691370601991347,0.9181160455231978,4.288124524190299e-169,0.668766996075759,2.40965283925242e-88,1.7088477759454532,9.014647097924333e-50,0.11520877115475096,0.013018000934855686,0.00025506001613208974
110,0,0.0006616102378612364,0.9180943358234588,2.7563376783932265e-157,0.6078766038509604,1.7285547768853129e-69,1.5127241661914888,9.951577487707228e-45,0.10780643712536114,0.011367167869532355,0.00025506001613208974
111,0,0.0006542344546147645,0.9431460116933497,7.271745945349729e-171,0.5984054856182429,4.8074568615776875e-70,1.4833375835412788,6.735075500866056e-46,0.10430215062970344,0.010623878609849254,0.00025506001613208974
112,0,0.0006470053712455646,0.8989549221070493,1.3946699601570182e-155,0.6305344366639579,4.770918201694507e-76,1.5836112345154048,9.680075001165552e-47,0.1103051032003256,0.011912155775902392,0.00025506001613208974
113,0,0.0006399188101298653,0.8766280353081529,4.152522550088346e-146,0.5740192530922857,3.765454840903744e-63,1.4104616191142787,3.021147033648223e-43,0.10229831499085727,0.010209885233836563,0.00025506001613208974
114,0,0.0006329707478654074,0.9171261595216338,3.0340002700751195e-157,0.6104063268450378,4.124702473014034e-70,1.520538615297334,6.620929433607237e-45,0.10814087981270497,0.01143938987053381,0.00025506001613208974
115,0,0.0006261573082991753,0.8830605203202051,3.8879298037643733e-144,0.6168770226116612,5.908231070479689e-70,1.5409032037244572,3.0871641129714565e-44,0.11044834119747625,0.011943776057142039,0.00025506001613208974
116,0,0.0006194747559271735,0.9245037488096064,2.0044398213866003e-154,0.6750887059681329,3.989289460233769e-81,1.7319964748323824,5.743191437715324e-45,0.12309171181457704,0.014896509501310795,0.00025506001613208974
117,0,0.0006129194896434194,0.923722906238181,3.971093274871748e-158,0.6414297930457485,4.959724257138182e-76,1.6190628929405697,1.213088188968053e-45,0.11417683031715484,0.012781288565140277,0.00025506001613208974
118,0,0.0006064880368168963,0.809336732812012,2.600895243876199e-121,0.5811350199413139,8.667805946978223e-62,1.4319005514066672,8.183413679848599e-42,0.10569383499940638,0.01091612674074965,0.00025506001613208974
119,0,0.0006001770476766744,0.961629176498304,1.443733140842982e-160,0.6286004921936508,1.342235084434519e-69,1.5783394788430825,5.765392518930048e-43,0.11486330214649425,0.012938518163864739,0.00025506001613208974
120,0,0.0005939832899867534,0.9326248010683736,1.1356688311524287e-155,0.6476666521429262,6.402167765282496e-75,1.6398273326128003,2.368113963899851e-44,0.11738000012595058,0.013523004413436068,0.00025506001613208974
121,0,0.0005879036439934306,0.9732337834969784,1.502920339225337e-161,0.5903506064065873,2.1102475659551028e-61,1.459815778016023,6.977667930178827e-41,0.10902802363961003,0.011632049922627275,0.00025506001613208974
122,0,0.0005819350976291418,0.8534477422326916,4.338826973284212e-127,0.6247832869275524,4.9137068006415596e-67,1.5664669720301296,1.0083786121812298e-41,0.11575774630397252,0.013144795813242774,0.00025506001613208974
123,0,0.0005760747419578005,0.895419200956951,1.0051355965976047e-139,0.5918005692410271,1.5539256579119585e-61,1.464216046536555,7.303963660023292e-41,0.10938439849153281,0.011709886617222354,0.00025506001613208974
124,0,0.0005703197668476406,0.9781665569486055,1.6787462261376056e-159,0.7139239380578756,6.417902398975177e-84,1.8721453063297069,8.571511188443585e-42,0.13822462849276135,0.018850987905829803,0.00025506001613208974
125,0,0.0005646674568584825,0.9400712679942418,1.5948950648864977e-136,0.6855545975410687,1.049207905596521e-71,1.770630485816075,1.1518381158834246e-38,0.1361540542434592,0.018282866470798742,0.00025506001613208974
126,0,0.0005591151873312004,0.8854830540398839,4.487126643902267e-135,0.6675431109115442,5.006805610905707e-75,1.7069598720955759,2.261127230195764e-42,0.1251277593318789,0.015401896139284514,0.00025506001613208974
127,0,0.0005536604206679413,0.9468597908950324,7.858524360077828e-147,0.5972230692564595,9.643920211386292e-60,1.4810537288901888,2.7251311045648507e-39,0.11293383737873045,0.012498991608953442,0.00025506001613208974
128,0,0.0005483007027923936,0.8819928155960532,7.520764723421825e-127,0.5555096832663868,2.693921969730817e-51,1.3573521767405918,2.6198568893778477e-36,0.10787214708168916,0.011381340099881489,0.00025506001613208974
129,0,0.0005430336597800669,0.8062412026074252,8.618722576657214e-108,0.549889748923597,3.658289000307579e-50,1.3411697173418442,7.862494133736724e-36,0.10732898316168477,0.011264450610389122,0.00025506001613208974
130,0,0.0005378569946491893,0.9012859564367723,2.5344060532343976e-130,0.5736958385493434,9.040633227930272e-54,1.4106209467239093,6.405672170248751e-37,0.11112733686179489,0.012094224981862746,0.00025506001613208974
131,0,0.0005327684843034024,0.9546520676680387,3.780138162930146e-144,0.6779426372379501,2.5952585615371694e-72,1.743588503187915,8.855753727041765e-40,0.13209707248801006,0.017194576543770497,0.00025506001613208974
132,0,0.0005277659766179933,0.925550305087854,2.622861253839444e-137,0.6062110788163847,1.126271992229251e-59,1.5088779163860935,1.3877839979265026e-38,0.11615369227227579,0.01323662021235045,0.00025506001613208974
133,0,0.0005228473876619007,0.9311393315361981,5.488377933661683e-135,0.546175667887329,2.986492487866612e-48,1.3306599996866932,1.102913516559757e-34,0.10832393658968614,0.011479015222154255,0.00025506001613208974
134,0,0.0005180106990482121,0.931477312964988,8.311673305468562e-134,0.6625030278183525,2.8415685102219988e-67,1.6910486099593067,1.8110702204884588e-38,0.1303818690917859,0.016744371771735506,0.00025506001613208974
135,0,0.0005132539554063082,0.9423045947974208,3.1597883060136107e-131,0.5390210806188684,6.044894575786387e-45,1.3104931854537658,1.0729940895933253e-32,0.11004987176019619,0.011855914258303537,0.00025506001613208974
136,0,0.0005085752619692238,0.9316966717662141,2.09033266455938e-127,0.572636696147084,1.4440997995174216e-49,1.4079810081640292,3.90848812742241e-34,0.11558514928473113,0.013104866719041491,0.00025506001613208974
137,0,0.0005039727822701758,0.9055690372563439,8.121982345948463e-124,0.5967836075837212,2.0860817306282373e-54,1.4804164966096145,7.544876674907334e-36,0.11844132424008946,0.013773287271613914,0.00025506001613208974
138,0,0.0004994447359425724,0.9564036516645118,2.956728743919667e-133,0.6259472791196325,4.936228572080913e-58,1.5715482810956698,4.5317052104008634e-36,0.12532663984228806,0.015451706638026495,0.00025506001613208974
139,0,0.0004949893966181459,0.8619212837038753,3.2980216477430516e-108,0.6164819604623388,6.458306095705317e-55,1.5418204688326542,8.00815146503705e-35,0.12525002714093914,0.015432509282673899,0.00025506001613208974
140,0,0.0004906050899181715,0.9034893033621361,3.020203837401676e-117,0.626251716261591,2.32242415612627e-56,1.5727827387144457,5.116268168640716e-35,0.12739157887013966,0.01597355435089492,0.00025506001613208974
141,0,0.00048629019153302155,0.9057441528287032,8.501266987675403e-119,0.5480420999749266,6.850964115448836e-45,1.3364163609630781,3.235384435936976e-32,0.11310438619794307,0.012537542161081362,0.00025506001613208974
