feature,beta_true,a,b,c,d,logOR_hat,se_wald,p_wald,neglog10p
1141,-0.0301873763512067,148494,151541,151413,148552,-0.039387667989326476,0.00516421982385342,2.402206510817969e-14,13.619389660274686
1142,0.020178719081573458,151273,149341,148788,150598,0.0249453476819534,0.005164080503867156,1.3615660120050737e-06,5.865961298169357
1143,0.008189938834004418,150081,149773,149565,150581,0.008824368863410344,0.005163985948101059,0.08748263211505906,1.05807815869511
1144,0.013798311909728614,150421,149721,149434,150424,0.01126757918969466,0.005163990864469273,0.029113089832507492,1.5359116995424216
1145,-0.010298292176613693,149648,150347,150366,149639,-0.009506649789575916,0.005163983779066096,0.06562849311017951,1.1829075674244272
1146,0.006105283084391619,149991,149913,149577,150519,0.006798155473093609,0.00516398225656288,0.18802103415395321,0.7257935629384409
1147,0.007880407058434187,150630,149523,149570,150277,0.012091978359928299,0.0051639945923639225,0.019201593906767546,1.716662719411943
1148,0.05498567738318363,152222,148382,147356,152040,0.05684197890666338,0.005164506600222493,3.564386175617529e-28,27.448015249401124
1149,-0.02119171821779547,149075,151119,150771,149035,-0.025198938608272554,0.005164073397753884,1.0626718994567094e-06,5.973600803445168
1150,-0.00032515088094057105,150273,149547,150227,149953,0.0030173333067731027,0.005163978766996011,0.5590158200761794,0.2525759014613961
1151,0.011273783946195985,150860,148881,150002,150257,0.014903409590352147,0.00516402836944649,0.003901664638235621,2.4087500624717197
1152,-0.05344056832419012,148016,151723,152432,147829,-0.055398323795465,0.005164471980494764,7.617851772867965e-27,26.118167482036295
1153,-0.049666158332373485,148407,152316,151540,147737,-0.05141458991641409,0.005164410809184981,2.384818977659676e-23,22.62254458097908
1154,0.06710542784900951,152861,147339,147156,152644,0.07340787701059277,0.005164839961693319,7.609310702657134e-46,45.118654682466065
1155,-0.05475217822639294,147852,152644,151795,147709,-0.05918324643028599,0.005164544779929655,2.106592535344316e-30,29.676419459059442
1156,0.017813528019992746,150522,149597,149628,150253,0.010332532740741224,0.0051639874633193986,0.045405041477054764,1.3428959232638655
1157,-0.026281302972144895,149446,150498,151046,149010,-0.02058561127749043,0.005164044592361378,6.710177639824055e-05,4.173265982517421
1158,-0.023645650947560583,148625,151029,151145,149201,-0.028990670489303635,0.005164109836395237,1.9784441095015317e-08,7.703676213923566
1159,-0.06142628750150588,147921,152107,152456,147516,-0.06084505559543545,0.005164570747757452,4.876936285267109e-32,31.31185291821152
1160,-0.027908363919221725,148966,150979,151061,148994,-0.02720026370965849,0.005164088688633086,1.3852380885448307e-07,6.858475575585307
1161,0.024303082519735928,150648,148962,148648,151742,0.03185525900483554,0.005164151279987916,6.892465889959068e-10,9.16162537449157
1162,-0.04302862316027544,148402,151367,152091,148140,-0.04610364351528708,0.00516432055692978,4.363761322058602e-19,18.36013901137142
1163,0.01844862713158368,150453,149421,149404,150722,0.015665900046432264,0.005164009826939118,0.0024159880262110372,2.6169052224364027
1164,0.009707175725050655,150722,149368,149122,150788,0.020134067545447176,0.005164035545123391,9.66299456584457e-05,4.01488826469374
1165,0.06253480954403162,151944,147722,148181,152153,0.05463181477169447,0.00516445455493453,3.7519711472554777e-26,25.4257405100147
1166,-0.014702885321386097,149941,150651,150798,148610,-0.019339723652726112,0.0051640555130449345,0.00018034706410711745,3.7438909232233923
1167,0.03914545226557686,151763,148353,148568,151316,0.04105298713697728,0.005164244647342928,1.8731721141894064e-15,14.727422316159982
1168,0.027540597253903197,150804,149221,148976,150999,0.024040466878095797,0.005164063864207002,3.234483863340873e-06,5.490195011188973
1169,-0.008882096049258855,149724,149576,150585,150115,-0.0021370603419470216,0.005163986708744431,0.6789918432088666,0.16813544290750576
1170,-0.05152480680500525,147835,151261,152482,148422,-0.04989685683313489,0.005164396897659382,4.385227848971187e-22,21.35800783651
